"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"특별경제범죄",소계,588,106,38,11,-,-,-,57,11,-,-,11,5,71,3,21,106,254,730,112,33,4,-,-,-,75,17,-,1,23,4,55,3,36,146,333,555,85,18,4,-,-,-,63,8,-,-,20,7,86,2,23,146,178,388,61,22,2,-,1,-,36,9,-,1,27,19,66,2,13,112,78,371,40,9,2,-,2,-,27,17,-,-,31,11,85,4,10,102,71
"마약범죄",소계,56,7,3,3,-,-,-,1,-,-,-,11,6,2,-,-,17,13,71,4,1,-,-,-,-,3,1,-,-,16,2,2,1,3,16,26,132,3,-,2,-,-,-,1,-,-,-,60,4,10,2,1,34,18,180,5,2,-,-,-,-,3,1,-,-,103,4,11,-,2,46,8,199,15,8,-,-,-,-,7,1,-,-,83,13,10,4,24,44,5
"보건범죄",소계,18,2,-,-,-,-,-,2,-,-,-,1,-,3,-,-,3,9,25,5,3,-,-,-,-,2,-,-,-,3,-,2,-,-,5,10,54,4,3,-,-,-,-,1,-,-,-,-,-,13,-,9,16,12,239,8,6,-,-,-,-,2,1,-,-,3,2,31,1,74,95,24,348,14,7,2,-,-,-,5,-,-,-,6,1,51,2,78,174,22
"환경범죄",소계,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,7,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,2,2
"교통범죄",소계,7391,25,5,3,-,-,-,17,21,-,1,464,24,483,-,1736,1598,3039,7081,25,6,1,-,1,-,17,23,-,1,515,20,467,1,1497,1324,3208,7779,39,11,2,-,1,-,25,39,-,5,1216,37,727,1,1930,1691,2094,6684,57,18,2,-,8,-,29,39,-,2,1543,40,680,3,2074,1632,614,6611,35,9,-,-,1,-,25,37,-,2,1395,59,926,13,2100,1739,305
"노동범죄",소계,5,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,3,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
"안보범죄",소계,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"선거범죄",소계,12,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,13,-,1,9,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,47,1,-,-,-,-,-,1,-,-,-,14,-,20,-,5,6,1
"병역범죄",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타범죄",소계,6562,292,79,33,-,9,1,170,54,1,7,332,62,841,22,398,1278,3275,6591,211,57,23,-,3,2,126,45,4,8,370,47,824,20,327,1279,3456,6962,347,86,39,2,8,1,211,72,4,15,753,89,1097,27,464,1726,2368,6145,292,65,26,1,7,1,192,47,3,31,861,71,1178,55,544,2017,1046,7020,301,68,28,2,11,-,192,58,4,32,817,76,1439,27,686,2374,1206
